TF_ID	col_amp	TF_Symbol1	TF_Symbol2	Chr	Start	End	Effect	targetChr	targetStart	targetEnd	targetLen	targetID	targetID2	DistanceTSS	targetSymbol
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	3	14195942	14196142	Promoter (<=1kb)	3	14195917	14196078	162	AT3G41761	AT3G41761.1	25	AT3G41761
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	2	15850741	15850941	Promoter (<=1kb)	2	15851726	15856309	4584	AT2G37840	AT2G37840.1	-785	ATG1C
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	5	22441630	22441830	Promoter (<=1kb)	5	22439714	22441115	1402	AT5G55340	AT5G55340.1	-515	AT5G55340
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	2	9997	10197	Promoter (<=1kb)	2	9648	9767	120	AT2G01023	AT2G01023.1	-230	AT2G01023
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	5	20313279	20313479	Promoter (<=1kb)	5	20308033	20312892	4860	AT5G49930	AT5G49930.1	-387	EMB1441
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	4	273455	273655	Promoter (<=1kb)	4	274252	278737	4486	AT4G00660	AT4G00660.2	-597	RH8
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	2	17847778	17847978	Promoter (1-2kb)	2	17845703	17846603	901	AT2G42885	AT2G42885.1	-1175	AT2G42885
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	2	9878	10078	Promoter (<=1kb)	2	9648	9767	120	AT2G01023	AT2G01023.1	-111	AT2G01023
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	3	20031404	20031604	Promoter (<=1kb)	3	20030910	20031192	283	AT3G08370	AT3G08370.1	-212	NA
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	3	4857465	4857665	Promoter (<=1kb)	3	4857464	4861247	3784	AT3G14470	AT3G14470.1	1	AT3G14470
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	4	10926964	10927164	Promoter (<=1kb)	4	10924100	10926833	2734	AT4G20230	AT4G20230.2	-131	TPS30
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	5	16605619	16605819	Promoter (1-2kb)	5	16607124	16608326	1203	AT5G41510	AT5G41510.1	-1305	AT5G41510
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	1	6620915	6621115	Promoter (<=1kb)	1	6620854	6621071	218	AT1G05473	AT1G05473.1	0	NA
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	1	16819269	16819469	Promoter (1-2kb)	1	16817810	16818214	405	AT1G07267	AT1G07267.1	-1055	NA
